date,month,year,country,customer_name,group_1,group_2,packaging,rm_size,soup,order_unit,order_cups,cups_per_unit,production
14,06,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,739,26604,36.0,
19,06,2024,AUS,CPF Australia Pty Ltd.,Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Regular,792,28512,36.0,
19,06,2024,AUS,CPF Australia Pty Ltd.,Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Regular,792,28512,36.0,
26,06,2024,AUS,CPF Australia Pty Ltd.,Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Regular,792,28512,36.0,
20,06,2024,Spain,Mercadona,Wonton ND+V,Cooked Wonton,309g*12,HC,Regular,2520,30240,12.0,
23,07,2024,Korea,Consumer Package Commerce,R-Wonton egg past,Raw Wonton,154g*40in,S,ซุปซอง 5g.,552,22080,40.0,
10,07,2024,CAN,Bellisio Foods Canada,Minced ND,Cooked Wonton,258g*12,BK,Regular,2600,31200,12.0,
14,06,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,53,1908,36.0,
14,06,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,792,28512,36.0,
14,06,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,792,28512,36.0,
14,06,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,792,28512,36.0,
15,06,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,740,26640,36.0,
23,07,2024,Korea,Consumer Package Commerce,R-Wonton egg past,Raw Wonton,154g*40in,S,ซุปซอง 5g.,468,18720,40.0,
15,06,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,52,1872,36.0,
15,06,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,792,28512,36.0,
17,06,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,792,28512,36.0,
17,06,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,792,28512,36.0,
17,06,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,792,28512,36.0,
17,06,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,792,28512,36.0,
17,06,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,69,2484,36.0,
23,07,2024,Korea,Consumer Package Commerce,R-Wonton egg past,Raw Wonton,154g*40in,S,ซุปซอง 5g.,81,3240,40.0,
17,06,2024,MTFS,ซีพีเอฟ เทรดดิ้ง,R-Wonton no egg,Raw Wonton,220g*12in,SS,,347,4164,12.0,
17,06,2024,MTFS,ซีพีเอฟ เทรดดิ้ง,R-Wonton no egg,Raw Wonton,220g*12in,SS,,208,2496,12.0,
01,07,2024,HK,CPM Hongkong,R-Wonton egg past,Raw Wonton,101g*18in,S,ซุปซอง 5g.,287,5166,18.0,
01,07,2024,HK,CPM Hongkong,R-Minced egg past,Raw Wonton,90g*18in,BK,ซุปซอง 5g.,250,4500,18.0,
17,06,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,723,26028,36.0,
18,06,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,792,28512,36.0,
22,06,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,792,28512,36.0,
22,06,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,792,28512,36.0,
22,06,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,792,28512,36.0,
22,06,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,281,10116,36.0,
01,07,2024,HK,CPM Hongkong,R-Wonton egg past,Raw Wonton,101g*18in,S,ซุปซอง 5g.,1363,24534,18.0,
17,06,2024,.7-11,ถ้วยขาวพิมพ์กดสีฟ้า,Wonton,Cooked Wonton,130g*24,SS,Regular,878,21072,24.0,
24,06,2024,Belgium,CPF EUROPE S.A.,Wonton +V,Cooked Wonton,145g*8,HC,Regular,2700,21600,8.0,
03,07,2024,AUS,CPF Australia Pty Ltd.,Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Regular,792,28512,36.0,
03,07,2024,AUS,CPF Australia Pty Ltd.,Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Regular,792,28512,36.0,
03,07,2024,AUS,CPF Australia Pty Ltd.,Wonton ND+V+TY,Cooked Wonton,307g*4c*6in,M,TYEX+CO,924,22176,24.0,
24,07,2024,AUS,CPF Australia Pty Ltd.,Wonton ND+V+TY,Cooked Wonton,307g*4c*6in,M,TYEX+CO,924,22176,24.0,
01,07,2024,New Zealand,Lim Brothers,Minced ND+V+TY,Cooked Wonton,302g*8,BK,TYA+CO,594,4752,8.0,
13,07,2024,SG,CPI SINGAPORE,R-Wonton egg past,Raw Wonton,154g*20in,S,ซุปซอง 5g.,1088,21760,20.0,
20,06,2024,CAN,"CP Foods Canada,Inc (CPFC)",Wonton,Cooked Wonton,145g*6c*6in,HC,Y3,391,14076,36.0,
27,06,2024,CAN,"CP Foods Canada,Inc (CPFC)",Wonton,Cooked Wonton,145g*6c*6in,HC,Y3,1288,46368,36.0,
17,06,2024,.7-11,ถ้วยขาวพิมพ์กดสีฟ้า,Wonton,Cooked Wonton,130g*24,SS,Regular,3133,75192,24.0,
13,07,2024,SG,CPI SINGAPORE,R-Wonton egg past,Raw Wonton,154g*20in,S,ซุปซอง 5g.,912,18240,20.0,
18,06,2024,.7-11,ถ้วยขาวพิมพ์กดสีฟ้า,Wonton,Cooked Wonton,130g*24,SS,Regular,2140,51360,24.0,
26,06,2024,AUS,CPF Australia Pty Ltd.,Minced ND+Kee Mao,Cooked Wonton,219g*8,BK,Kee Mao 50G.,300,2400,8.0,
10,07,2024,AUS,CPF Australia Pty Ltd.,Minced ND+Kee Mao,Cooked Wonton,219g*8,BK,Kee Mao 50G.,200,1600,8.0,
01,07,2024,New Zealand,Lim Brothers,Minced ND+Kee Mao,Cooked Wonton,219g*8,BK,Kee Mao 50G.,108,864,8.0,
26,06,2024,Germany,CPF Distribution (under Paulsen Food),Minced ND+V+TK,Cooked Wonton,302g*12,BK,Tomkha+CM,2040,24480,12.0,
26,06,2024,Denmark,CPF DENMARK,Minced ND+V+TK,Cooked Wonton,302g*8,BK,Tomkha+CM,3500,28000,8.0,
08,07,2024,Denmark,CPF DENMARK,Minced ND+V+TK,Cooked Wonton,302g*8,BK,Tomkha+CM,3283,26264,8.0,
01,07,2024,New Zealand,Lim Brothers,Minced ND+V+TK,Cooked Wonton,302g*8,BK,Tomkha+CM,810,6480,8.0,
15,07,2024,AUS,CPF Australia Pty Ltd.,Minced ND+V+TK,Cooked Wonton,302g*8,BK,Tomkha+CM,350,2800,8.0,
03,07,2024,Korea,Consumer Package Commerce,R-Wonton egg past,Raw Wonton,630g*10inner,S,ซุปซอง 5g.,551,5510,10.0,
01,07,2024,.7-11,ถ้วยขาวพิมพ์กดสีฟ้า,Wonton,Cooked Wonton,130g*24,SS,Regular,3613,86712,24.0,
22,06,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,511,18396,36.0,
22,06,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,792,28512,36.0,
24,06,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,327,11772,36.0,
03,07,2024,Korea,Consumer Package Commerce,R-Wonton egg past,Raw Wonton,630g*10inner,S,ซุปซอง 5g.,532,5320,10.0,
24,06,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,465,16740,36.0,
24,06,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,792,28512,36.0,
24,06,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,792,28512,36.0,
24,06,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,792,28512,36.0,
24,06,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,792,28512,36.0,
24,06,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,390,14040,36.0,
03,07,2024,Korea,Consumer Package Commerce,R-Wonton egg past,Raw Wonton,630g*10inner,S,ซุปซอง 5g.,537,5370,10.0,
24,06,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,402,14472,36.0,
25,06,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,792,28512,36.0,
01,07,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,792,28512,36.0,
01,07,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,792,28512,36.0,
01,07,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,792,28512,36.0,
01,07,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,658,23688,36.0,
03,07,2024,Korea,Consumer Package Commerce,R-Wonton egg past,Raw Wonton,630g*10inner,S,ซุปซอง 5g.,436,4360,10.0,
27,06,2024,MTFS,ซีพีเอฟ เทรดดิ้ง,E+Wonton NDE,Cooked Wonton,226g*12,M,Regular,121,1452,12.0,
27,06,2024,MTFS,ซีพีเอฟ เทรดดิ้ง,E+Wonton TY,Cooked Wonton,115g*12,M,TYTB3C 30G,650,7800,12.0,
,07,2024,.7-11,ซีพีเอฟ เทรดดิ้ง,E+Wonton+หมาล่า,Cooked Wonton,143g*24,SS,หมาล่า,4918,118032,24.0,
05,07,2024,China,"Sam's (Shanghai) Investment Co., Ltd.",R-Wonton no egg,Raw Wonton,750g*8in,S,ซุปซอง 5g.,605,4840,8.0,
27,06,2024,MTFS,ซีพีเอฟ เทรดดิ้ง,E+Wonton,Cooked Wonton,145g*12,M,Regular,1320,15840,12.0,
,07,2024,.7-11,Seven ถ้วยดำ,E+Wonton,Cooked Wonton,145g*24,M,Regular,3410,81840,24.0,
05,07,2024,China,"Sam's (Shanghai) Investment Co., Ltd.",R-Wonton no egg,Raw Wonton,750g*8in,S,ซุปซอง 5g.,582,4656,8.0,
01,07,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,134,4824,36.0,
01,07,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,792,28512,36.0,
01,07,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,792,28512,36.0,
01,07,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,792,28512,36.0,
01,07,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,792,28512,36.0,
05,07,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,792,28512,36.0,
05,07,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,219,7884,36.0,
05,07,2024,China,"Sam's (Shanghai) Investment Co., Ltd.",R-Wonton no egg,Raw Wonton,750g*8in,S,ซุปซอง 5g.,221,1768,8.0,
05,07,2024,China,"Sam's (Shanghai) Investment Co., Ltd.",R-Wonton no egg,Raw Wonton,750g*8in,S,ซุปซอง 5g.,367,2936,8.0,
,07,2024,.7-11,ถ้วยขาวพิมพ์กดสีฟ้า,Wonton,Cooked Wonton,130g*24,SS,Regular,3777,90648,24.0,
22,07,2024,USA,"Bellisio Foods, Inc.",Minced WT,Cooked Wonton,145g*8,BK,Regular,1400,19800,14.142857142857142,
23,07,2024,USA,"Bellisio Foods, Inc.",Minced WT,Cooked Wonton,145g*8,BK,Regular,400,19800,49.5,
30,07,2024,USA,"Bellisio Foods, Inc.",Minced WT,Cooked Wonton,145g*8,BK,Regular,500,19800,39.6,
20,08,2024,USA,"Bellisio Foods, Inc.",Minced WT,Cooked Wonton,145g*8,BK,Regular,350,19800,56.57142857142857,
27,08,2024,USA,"Bellisio Foods, Inc.",Minced WT,Cooked Wonton,145g*8,BK,Regular,3000,19800,6.6,
30,09,2024,USA,"Bellisio Foods, Inc.",Minced WT,Cooked Wonton,145g*8,BK,Regular,1200,19800,16.5,
27,06,2024,CAN,"CP Foods Canada,Inc (CPFC)",Wonton,Cooked Wonton,145g*6c*6in,HC,Y3,542,19512,36.0,
11,07,2024,CAN,"CP Foods Canada,Inc (CPFC)",Wonton,Cooked Wonton,145g*6c*6in,HC,Y3,1288,46368,36.0,
18,07,2024,CAN,"CP Foods Canada,Inc (CPFC)",Wonton,Cooked Wonton,145g*6c*6in,HC,Y3,1020,36720,36.0,
11,07,2024,Japan,CPF JAPAN,Wonton,Cooked Wonton,148g*6c*6in,M,Regular,1288,46368,36.0,
02,07,2024,Korea,Consumer Package Commerce,Wonton+TY,Cooked Wonton,147g*6c*6in,M,TYEX+CO,1288,46368,36.0,
04,07,2024,Japan,CPF JAPAN,Wonton+TY,Cooked Wonton,147g*6c*6in,M,TYEX+CO,1288,46368,36.0,
04,07,2024,Japan,CPF JAPAN,Wonton+TY,Cooked Wonton,147g*6c*6in,M,TYEX+CO,1288,46368,36.0,
11,07,2024,CAN,"CP Foods Canada,Inc (CPFC)",Wonton+TY,Cooked Wonton,147g*6c*6in,M,TYEX+CO,1288,46368,36.0,
11,07,2024,CAN,"CP Foods Canada,Inc (CPFC)",Wonton+TY,Cooked Wonton,147g*6c*6in,M,TYEX+CO,1288,46368,36.0,
25,07,2024,CAN,"CP Foods Canada,Inc (CPFC)",Wonton+TY,Cooked Wonton,147g*6c*6in,M,TYEX+CO,1288,46368,36.0,
24,07,2024,CAN,Bellisio Foods Canada,Minced ND,Cooked Wonton,258g*12,BK,Regular,2600,31200,12.0,
08,08,2024,CAN,Bellisio Foods Canada,Minced ND,Cooked Wonton,258g*12,BK,Regular,2600,31200,12.0,
15,07,2024,AUS,CPF Australia Pty Ltd.,Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Regular,792,28512,36.0,
15,07,2024,AUS,CPF Australia Pty Ltd.,Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Regular,792,28512,36.0,
24,07,2024,AUS,CPF Australia Pty Ltd.,Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Regular,792,28512,36.0,
23,07,2024,Germany,CPF Distribution (under Paulsen Food),Wonton ND+V,Cooked Wonton,309g*12,HC,Regular,2040,24480,12.0,
,07,2024,.7-11,Seven ถ้วยดำ,E+Wonton,Cooked Wonton,145g*24,M,Regular,5692,136608,24.0,
08,08,2024,USA,"Bellisio Foods, Inc.",C-WT in tray no egg,Cooked Wonton,117*2tray*8in,M,Sesame 15g,16,256,16.0,
01,07,2024,New Zealand,Lim Brothers,C-Minced WT in tray no egg,Cooked Wonton,117*2tray*8in,BK,Sesame 15g,56,896,16.0,
05,07,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,573,20628,36.0,
08,07,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,792,28512,36.0,
08,07,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,792,28512,36.0,
08,07,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,792,28512,36.0,
09,07,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,792,28512,36.0,
09,07,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,204,7344,36.0,
05,07,2024,China,"Sam's (Shanghai) Investment Co., Ltd.",R-Wonton no egg,Raw Wonton,750g*8in,S,ซุปซอง 5g.,516,4128,8.0,
15,07,2024,.7-11,ถ้วยขาวพิมพ์กดสีฟ้า,Wonton,Cooked Wonton,130g*24,SS,Regular,4324,103776,24.0,
16,07,2024,Malay,CPM Malaysia,Wonton,Cooked Wonton,145g*24,M,Regular,900,21600,24.0,
16,07,2024,Malay,CPM Malaysia,Wonton+TY,Cooked Wonton,115g*24,M,TYTB3C 30G,850,20400,24.0,
05,07,2024,China,"Sam's (Shanghai) Investment Co., Ltd.",R-Wonton no egg,Raw Wonton,750g*8in,S,ซุปซอง 5g.,525,4200,8.0,
09,07,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,588,21168,36.0,
09,07,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,792,28512,36.0,
09,07,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,792,28512,36.0,
12,07,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,792,28512,36.0,
12,07,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,792,28512,36.0,
12,07,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,162,5832,36.0,
16,07,2024,Malay,CPM Malaysia,R-Wonton egg past,Raw Wonton,154g*20inner,S,ซุปซอง 5g.,400,8000,20.0,
07,08,2024,SG,CPI SINGAPORE,R-Wonton egg past,Raw Wonton,154g*20in,S,ซุปซอง 5g.,653,13060,20.0,
12,07,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,630,22680,36.0,
12,07,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,792,28512,36.0,
15,07,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,792,28512,36.0,
15,07,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,792,28512,36.0,
15,07,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,792,28512,36.0,
15,07,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,101,3636,36.0,
07,08,2024,SG,CPI SINGAPORE,R-Wonton egg past,Raw Wonton,154g*20in,S,ซุปซอง 5g.,947,18940,20.0,
15,07,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,691,24876,36.0,
22,07,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,792,28512,36.0,
22,07,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,551,19836,36.0,
08,07,2024,Denmark,CPF DENMARK,Minced ND+V+TK,Cooked Wonton,302g*8,BK,Tomkha+CM,217,1736,8.0,
08,07,2024,MTFS,ซีพีเอฟ เทรดดิ้ง,R-Wonton no egg,Raw Wonton,220g*12in,SS,,399,4788,12.0,
23,07,2024,USA,"Bellisio Foods, Inc.",R-Wonton no egg,Raw Wonton,580g*10in,S,ซุปซอง 5g.,100,1000,10.0,
27,07,2024,USA,"Bellisio Foods, Inc.",R-Wonton no egg,Raw Wonton,580g*10in,S,ซุปซอง 5g.,100,1000,10.0,
08,08,2024,USA,"Bellisio Foods, Inc.",R-Wonton no egg,Raw Wonton,580g*10in,S,ซุปซอง 5g.,100,1000,10.0,
15,08,2024,USA,"Bellisio Foods, Inc.",R-Wonton no egg,Raw Wonton,580g*10in,S,ซุปซอง 5g.,400,4000,10.0,
24,07,2024,UK,Westbridge Foods Limited (One UK),Wonton,Cooked Wonton,148g*6c*6in,HC,Regular,1288,46368,36.0,
27,07,2024,USA,"Bellisio Foods, Inc.",Minced WT,Cooked Wonton,145g*6c*6,BK,Regular,450,19800,44.0,
15,08,2024,USA,"Bellisio Foods, Inc.",Minced WT,Cooked Wonton,145g*6c*6,BK,Regular,300,19800,66.0,
22,07,2024,.7-11,ถ้วยขาวพิมพ์กดสีฟ้า,Wonton,Cooked Wonton,130g*24,SS,Regular,2574,61776,24.0,
21,08,2024,New Zealand,Lim Brothers,Minced ND+V+TY,Cooked Wonton,302g*8,BK,TYA+CO,162,1296,8.0,
12,09,2024,New Zealand,Lim Brothers,Minced ND+V+TY,Cooked Wonton,302g*8,BK,TYA+CO,270,2160,8.0,
,07,2024,.7-11,ถ้วยขาวพิมพ์กดสีฟ้า,Wonton,Cooked Wonton,130g*24,SS,Regular,4507,108168,24.0,
23,07,2024,USA,"Bellisio Foods, Inc.",Minced ND,Cooked Wonton,258g*4c*6in,BK,Regular,750,18000,24.0,
27,07,2024,USA,"Bellisio Foods, Inc.",Minced ND,Cooked Wonton,258g*4c*6in,BK,Regular,700,16800,24.0,
30,07,2024,USA,"Bellisio Foods, Inc.",Minced ND,Cooked Wonton,258g*4c*6in,BK,Regular,106,2544,24.0,
30,07,2024,USA,"Bellisio Foods, Inc.",Minced ND,Cooked Wonton,258g*4c*6in,BK,Regular,594,14256,24.0,
15,08,2024,USA,"Bellisio Foods, Inc.",Minced ND,Cooked Wonton,258g*4c*6in,BK,Regular,800,19200,24.0,
07,10,2024,USA,"Bellisio Foods, Inc.",Minced ND,Cooked Wonton,258g*8,BK,Regular,1237,9896,8.0,
25,07,2024,BRUNEI,Ben Foods,Wonton,Cooked Wonton,145g*24,M,Regular,200,4800,24.0,
25,07,2024,BRUNEI,Ben Foods,Wonton+TY,Cooked Wonton,115g*24,M,TYTB3C 30G,405,9720,24.0,
,08,2024,.7-11,ถ้วยขาวพิมพ์กดสีฟ้า,Wonton,Cooked Wonton,130g*24,SS,Regular,2168,52032,24.0,
08,08,2024,Japan,CPF JAPAN,Wonton+TY,Cooked Wonton,147g*6c*6in,M,TYEX+CO,1288,46368,36.0,
14,08,2024,Japan,CPF JAPAN,Wonton+TY,Cooked Wonton,147g*6c*6in,M,TYEX+CO,1288,46368,36.0,
14,08,2024,Japan,CPF JAPAN,Wonton+TY,Cooked Wonton,147g*6c*6in,M,TYEX+CO,1205,43380,36.0,
22,07,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,241,8676,36.0,
22,07,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,792,28512,36.0,
22,07,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,550,19800,36.0,
22,07,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,792,28512,36.0,
22,07,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,792,28512,36.0,
22,07,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,768,27648,36.0,
22,07,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,24,864,36.0,
22,07,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,792,28512,36.0,
27,07,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,792,28512,36.0,
27,07,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,792,28512,36.0,
27,07,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,792,28512,36.0,
27,07,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,792,28512,36.0,
27,07,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,68,2448,36.0,
27,07,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,724,26064,36.0,
30,07,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,792,28512,36.0,
30,07,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,120,4320,36.0,
,07,2024,.7-11,ซีพีเอฟ เทรดดิ้ง,Wonton ND+V+TY,Cooked Wonton,211g*12,SS,TYNSF,7034,84408,12.0,
20,07,2024,CAN,"CP Foods Canada,Inc (CPFC)",Wonton,Cooked Wonton,145g*6c*6in,HC,Y3,268,9648,36.0,
25,07,2024,CAN,"CP Foods Canada,Inc (CPFC)",Wonton,Cooked Wonton,145g*6c*6in,HC,Y3,1288,46368,36.0,
01,08,2024,CAN,"CP Foods Canada,Inc (CPFC)",Wonton,Cooked Wonton,145g*6c*6in,HC,Y3,1288,46368,36.0,
01,08,2024,CAN,"CP Foods Canada,Inc (CPFC)",Wonton,Cooked Wonton,145g*6c*6in,HC,Y3,1288,46368,36.0,
08,08,2024,CAN,"CP Foods Canada,Inc (CPFC)",Wonton,Cooked Wonton,145g*6c*6in,HC,Y3,34,1224,36.0,
08,08,2024,CAN,"CP Foods Canada,Inc (CPFC)",Wonton+TY,Cooked Wonton,147g*6c*6in,M,TYEX+CO,1288,46368,36.0,
15,08,2024,CAN,"CP Foods Canada,Inc (CPFC)",Wonton+TY,Cooked Wonton,147g*6c*6in,M,TYEX+CO,1288,46368,36.0,
22,08,2024,CAN,"CP Foods Canada,Inc (CPFC)",Wonton+TY,Cooked Wonton,147g*6c*6in,M,TYEX+CO,1288,46368,36.0,
22,08,2024,CAN,"CP Foods Canada,Inc (CPFC)",Wonton+TY,Cooked Wonton,147g*6c*6in,M,TYEX+CO,69,2484,36.0,
14,08,2024,Japan,CPF JAPAN,Wonton+TY,Cooked Wonton,147g*6c*6in,M,TYEX+CO,83,2988,36.0,
,08,2024,.7-11,ถ้วยขาวพิมพ์กดสีฟ้า,Wonton,Cooked Wonton,130g*24,SS,Regular,3238,77712,24.0,
31,07,2024,New Zealand,Lim Brothers,Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Regular,320,11520,36.0,
31,07,2024,AUS,CPF Australia Pty Ltd.,Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Regular,792,28512,36.0,
15,08,2024,AUS,CPF Australia Pty Ltd.,Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Regular,792,28512,36.0,
